ordre_agents,Vp,numberOfTurn,0,1,2,3,4
"A0,A1,A2,A3,A4",0.14634146341463414,9,False,True,True,False,True
"A0,A1,A2,A4,A3",0.14634146341463414,9,False,True,True,False,True
"A0,A1,A3,A2,A4",0.14634146341463414,9,False,True,True,False,True
"A0,A1,A3,A4,A2",0.14634146341463414,9,False,True,True,False,True
"A0,A1,A4,A2,A3",0.14634146341463414,9,False,True,True,False,True
"A0,A1,A4,A3,A2",0.14634146341463414,9,False,True,True,False,True
"A0,A2,A1,A3,A4",0.14634146341463414,9,False,True,True,False,True
"A0,A2,A1,A4,A3",0.14634146341463414,9,False,True,True,False,True
"A0,A2,A3,A1,A4",0.14634146341463414,9,False,True,True,False,True
"A0,A2,A3,A4,A1",0.14634146341463414,9,False,True,True,False,True
"A0,A2,A4,A1,A3",0.14634146341463414,9,False,True,True,False,True
"A0,A2,A4,A3,A1",0.14634146341463414,9,False,True,True,False,True
"A0,A3,A1,A2,A4",0.14634146341463414,9,False,True,True,False,True
"A0,A3,A1,A4,A2",0.14634146341463414,9,False,True,True,False,True
"A0,A3,A2,A1,A4",0.14634146341463414,10,False,True,True,False,True
"A0,A3,A2,A4,A1",0.14634146341463414,10,False,True,True,False,True
"A0,A3,A4,A1,A2",0.14634146341463414,9,False,True,True,False,True
"A0,A3,A4,A2,A1",0.14634146341463414,9,False,True,True,False,True
"A0,A4,A1,A2,A3",0.14634146341463414,9,False,True,True,False,True
"A0,A4,A1,A3,A2",0.14634146341463414,9,False,True,True,False,True
"A0,A4,A2,A1,A3",0.14634146341463414,9,False,True,True,False,True
"A0,A4,A2,A3,A1",0.14634146341463414,9,False,True,True,False,True
"A0,A4,A3,A1,A2",0.13333333333333333,8,False,True,True,False,True
"A0,A4,A3,A2,A1",0.14634146341463414,9,False,True,True,False,True
"A1,A0,A2,A3,A4",0.14634146341463414,8,False,True,True,False,True
"A1,A0,A2,A4,A3",0.14634146341463414,9,False,True,True,False,True
"A1,A0,A3,A2,A4",0.14634146341463414,9,False,True,True,False,True
"A1,A0,A3,A4,A2",0.14634146341463414,9,False,True,True,False,True
"A1,A0,A4,A2,A3",0.14634146341463414,8,False,True,True,False,True
"A1,A0,A4,A3,A2",0.14634146341463414,9,False,True,True,False,True
"A1,A2,A0,A3,A4",0.14634146341463414,8,False,True,True,False,True
"A1,A2,A0,A4,A3",0.13333333333333333,8,False,True,True,False,True
"A1,A2,A3,A0,A4",0.14634146341463414,8,False,True,True,False,True
"A1,A2,A3,A4,A0",0.14634146341463414,8,False,True,True,False,True
"A1,A2,A4,A0,A3",0.13333333333333333,8,False,True,True,False,True
"A1,A2,A4,A3,A0",0.14634146341463414,8,False,True,True,False,True
"A1,A3,A0,A2,A4",0.14634146341463414,8,False,True,True,False,True
"A1,A3,A0,A4,A2",0.14634146341463414,8,False,True,True,False,True
"A1,A3,A2,A0,A4",0.14634146341463414,8,False,True,True,False,True
"A1,A3,A2,A4,A0",0.14634146341463414,8,False,True,True,False,True
"A1,A3,A4,A0,A2",0.14634146341463414,8,False,True,True,False,True
"A1,A3,A4,A2,A0",0.14634146341463414,8,False,True,True,False,True
"A1,A4,A0,A2,A3",0.14634146341463414,8,False,True,True,False,True
"A1,A4,A0,A3,A2",0.14634146341463414,9,False,True,True,False,True
"A1,A4,A2,A0,A3",0.14634146341463414,8,False,True,True,False,True
"A1,A4,A2,A3,A0",0.14634146341463414,8,False,True,True,False,True
"A1,A4,A3,A0,A2",0.14634146341463414,8,False,True,True,False,True
"A1,A4,A3,A2,A0",0.14634146341463414,8,False,True,True,False,True
"A2,A0,A1,A3,A4",0.14634146341463414,8,False,True,True,False,True
"A2,A0,A1,A4,A3",0.14634146341463414,9,False,True,True,False,True
"A2,A0,A3,A1,A4",0.13333333333333333,8,False,True,True,False,True
"A2,A0,A3,A4,A1",0.13333333333333333,8,False,True,True,False,True
"A2,A0,A4,A1,A3",0.14634146341463414,8,False,True,True,False,True
"A2,A0,A4,A3,A1",0.13333333333333333,8,False,True,True,False,True
