,vp,tour,nbCoup/byTurnW2,nbCoup/byTurnW3,nbCoup/byTurnW4,nbCoup/byTurnW5,nbCoup/byTurnW6,nbCoup/byTurnW7
4,0.16074204446678603,4.40625,,,1.7265625,1.5036458333333333,1.9867592592592593,1.603339947089947
5,0.15751918223733172,4.0953124999999995,,,,1.2708333333333333,1.9016666666666666,1.414781746031746
6,0.15845885132751722,5.487870370370371,,,,,1.6646296296296297,1.2501157407407408
2,0.16988324175824174,4.5,2.71875,2.3958333333333335,2.2473958333333335,1.8609375,2.305740740740741,1.9212632275132275
7,0.1561593852512436,4.700975529100529,,,,,,1.1196428571428572
3,0.16064567790672557,4.354166666666667,,1.90625,2.0,1.70625,2.232962962962963,1.8047453703703704
8,0.1632485291203613,5.3347789115646265,,,,,,
1,,,3.15625,2.6145833333333335,2.4401041666666665,2.034895833333333,2.456111111111111,2.0246362433862433
