order,Vp,numberOfTurn,turnHistory
"A0,A1,A2,A3,A4",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_1': '12', 'agent_2': '11', 'agent_3': '13', 'agent_4': '10'}], 'turn 1': [{'agent_0': None, 'agent_1': None, 'agent_2': None, 'agent_3': '14', 'agent_4': None}], 'turn 2': [{'agent_0': None, 'agent_1': '42', 'agent_2': None, 'agent_3': None, 'agent_4': None}], 'turn 3': [{'agent_0': None, 'agent_1': '46', 'agent_2': None, 'agent_3': '2', 'agent_4': None}], 'turn 4': [{'agent_0': None, 'agent_1': None, 'agent_2': None, 'agent_3': None, 'agent_4': None}]}"
"A0,A1,A2,A4,A3",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_1': '12', 'agent_2': '11', 'agent_4': '10', 'agent_3': '13'}], 'turn 1': [{'agent_0': None, 'agent_1': None, 'agent_2': None, 'agent_4': None, 'agent_3': '14'}], 'turn 2': [{'agent_0': None, 'agent_1': '42', 'agent_2': None, 'agent_4': None, 'agent_3': None}], 'turn 3': [{'agent_0': None, 'agent_1': '46', 'agent_2': None, 'agent_4': None, 'agent_3': '2'}], 'turn 4': [{'agent_0': None, 'agent_1': None, 'agent_2': None, 'agent_4': None, 'agent_3': None}]}"
"A0,A1,A3,A2,A4",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_1': '12', 'agent_3': '13', 'agent_2': '11', 'agent_4': '10'}], 'turn 1': [{'agent_0': None, 'agent_1': None, 'agent_3': '14', 'agent_2': None, 'agent_4': None}], 'turn 2': [{'agent_0': None, 'agent_1': '42', 'agent_3': None, 'agent_2': None, 'agent_4': None}], 'turn 3': [{'agent_0': None, 'agent_1': '46', 'agent_3': '2', 'agent_2': None, 'agent_4': None}], 'turn 4': [{'agent_0': None, 'agent_1': None, 'agent_3': None, 'agent_2': None, 'agent_4': None}]}"
"A0,A1,A3,A4,A2",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_1': '12', 'agent_3': '13', 'agent_4': '10', 'agent_2': '11'}], 'turn 1': [{'agent_0': None, 'agent_1': None, 'agent_3': '14', 'agent_4': None, 'agent_2': None}], 'turn 2': [{'agent_0': None, 'agent_1': '42', 'agent_3': None, 'agent_4': None, 'agent_2': None}], 'turn 3': [{'agent_0': None, 'agent_1': '46', 'agent_3': '2', 'agent_4': None, 'agent_2': None}], 'turn 4': [{'agent_0': None, 'agent_1': None, 'agent_3': None, 'agent_4': None, 'agent_2': None}]}"
"A0,A1,A4,A2,A3",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_1': '12', 'agent_4': '10', 'agent_2': '11', 'agent_3': '13'}], 'turn 1': [{'agent_0': None, 'agent_1': None, 'agent_4': None, 'agent_2': None, 'agent_3': '14'}], 'turn 2': [{'agent_0': None, 'agent_1': '42', 'agent_4': None, 'agent_2': None, 'agent_3': None}], 'turn 3': [{'agent_0': None, 'agent_1': '46', 'agent_4': None, 'agent_2': None, 'agent_3': '2'}], 'turn 4': [{'agent_0': None, 'agent_1': None, 'agent_4': None, 'agent_2': None, 'agent_3': None}]}"
"A0,A1,A4,A3,A2",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_1': '12', 'agent_4': '10', 'agent_3': '13', 'agent_2': '11'}], 'turn 1': [{'agent_0': None, 'agent_1': None, 'agent_4': None, 'agent_3': '14', 'agent_2': None}], 'turn 2': [{'agent_0': None, 'agent_1': '42', 'agent_4': None, 'agent_3': None, 'agent_2': None}], 'turn 3': [{'agent_0': None, 'agent_1': '46', 'agent_4': None, 'agent_3': '2', 'agent_2': None}], 'turn 4': [{'agent_0': None, 'agent_1': None, 'agent_4': None, 'agent_3': None, 'agent_2': None}]}"
"A0,A2,A1,A3,A4",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_2': '11', 'agent_1': '12', 'agent_3': '13', 'agent_4': '10'}], 'turn 1': [{'agent_0': None, 'agent_2': None, 'agent_1': None, 'agent_3': '14', 'agent_4': None}], 'turn 2': [{'agent_0': None, 'agent_2': None, 'agent_1': '42', 'agent_3': None, 'agent_4': None}], 'turn 3': [{'agent_0': None, 'agent_2': None, 'agent_1': '46', 'agent_3': '2', 'agent_4': None}], 'turn 4': [{'agent_0': None, 'agent_2': None, 'agent_1': None, 'agent_3': None, 'agent_4': None}]}"
"A0,A2,A1,A4,A3",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_2': '11', 'agent_1': '12', 'agent_4': '10', 'agent_3': '13'}], 'turn 1': [{'agent_0': None, 'agent_2': None, 'agent_1': None, 'agent_4': None, 'agent_3': '14'}], 'turn 2': [{'agent_0': None, 'agent_2': None, 'agent_1': '42', 'agent_4': None, 'agent_3': None}], 'turn 3': [{'agent_0': None, 'agent_2': None, 'agent_1': '46', 'agent_4': None, 'agent_3': '2'}], 'turn 4': [{'agent_0': None, 'agent_2': None, 'agent_1': None, 'agent_4': None, 'agent_3': None}]}"
"A0,A2,A3,A1,A4",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_2': '11', 'agent_3': '12', 'agent_1': None, 'agent_4': '10'}], 'turn 1': [{'agent_0': '13', 'agent_2': None, 'agent_3': '14', 'agent_1': '42', 'agent_4': None}], 'turn 2': [{'agent_0': None, 'agent_2': None, 'agent_3': None, 'agent_1': '46', 'agent_4': None}], 'turn 3': [{'agent_0': None, 'agent_2': None, 'agent_3': '2', 'agent_1': None, 'agent_4': None}], 'turn 4': [{'agent_0': None, 'agent_2': None, 'agent_3': None, 'agent_1': None, 'agent_4': None}]}"
"A0,A2,A3,A4,A1",0.14285714285714285,5,"{'turn 0': [{'agent_0': '1', 'agent_2': '11', 'agent_3': '12', 'agent_4': '10', 'agent_1': None}], 'turn 1': [{'agent_0': '13', 'agent_2': None, 'agent_3': '14', 'agent_4': None, 'agent_1': '42'}], 'turn 2': [{'agent_0': None, 'agent_2': None, 'agent_3': None, 'agent_4': None, 'agent_1': '46'}], 'turn 3': [{'agent_0': None, 'agent_2': None, 'agent_3': '2', 'agent_4': None, 'agent_1': None}], 'turn 4': [{'agent_0': None, 'agent_2': None, 'agent_3': None, 'agent_4': None, 'agent_1': None}]}"
