order,Vp,numberOfTurn,turnHistory
"A0,A1,A2,A3",0.19047619047619047,6,"{'turn 0': [{'agent_0': '1', 'agent_1': '14', 'agent_2': '10', 'agent_3': '11'}], 'turn 1': [{'agent_0': '17', 'agent_1': None, 'agent_2': None, 'agent_3': '15'}], 'turn 2': [{'agent_0': '47', 'agent_1': None, 'agent_2': None, 'agent_3': '2'}], 'turn 3': [{'agent_0': '48', 'agent_1': None, 'agent_2': '46', 'agent_3': None}], 'turn 4': [{'agent_0': '50', 'agent_1': None, 'agent_2': None, 'agent_3': None}], 'turn 5': [{'agent_0': None, 'agent_1': None, 'agent_2': None, 'agent_3': None}]}"
"A0,A1,A3,A2",0.19047619047619047,7,"{'turn 0': [{'agent_0': '1', 'agent_1': '14', 'agent_3': '10', 'agent_2': None}], 'turn 1': [{'agent_0': '17', 'agent_1': '2', 'agent_3': '11', 'agent_2': '46'}], 'turn 2': [{'agent_0': None, 'agent_1': None, 'agent_3': '15', 'agent_2': None}], 'turn 3': [{'agent_0': '47', 'agent_1': None, 'agent_3': None, 'agent_2': None}], 'turn 4': [{'agent_0': '48', 'agent_1': None, 'agent_3': None, 'agent_2': None}], 'turn 5': [{'agent_0': '50', 'agent_1': None, 'agent_3': None, 'agent_2': None}], 'turn 6': [{'agent_0': None, 'agent_1': None, 'agent_3': None, 'agent_2': None}]}"
"A0,A2,A1,A3",0.19047619047619047,6,"{'turn 0': [{'agent_0': '1', 'agent_2': '10', 'agent_1': '14', 'agent_3': '11'}], 'turn 1': [{'agent_0': '17', 'agent_2': None, 'agent_1': None, 'agent_3': '15'}], 'turn 2': [{'agent_0': '47', 'agent_2': None, 'agent_1': None, 'agent_3': '2'}], 'turn 3': [{'agent_0': '48', 'agent_2': '46', 'agent_1': None, 'agent_3': None}], 'turn 4': [{'agent_0': '50', 'agent_2': None, 'agent_1': None, 'agent_3': None}], 'turn 5': [{'agent_0': None, 'agent_2': None, 'agent_1': None, 'agent_3': None}]}"
"A0,A2,A3,A1",0.19047619047619047,6,"{'turn 0': [{'agent_0': '1', 'agent_2': '10', 'agent_3': '11', 'agent_1': '14'}], 'turn 1': [{'agent_0': '17', 'agent_2': None, 'agent_3': '15', 'agent_1': None}], 'turn 2': [{'agent_0': '47', 'agent_2': None, 'agent_3': '2', 'agent_1': None}], 'turn 3': [{'agent_0': '48', 'agent_2': '46', 'agent_3': None, 'agent_1': None}], 'turn 4': [{'agent_0': '50', 'agent_2': None, 'agent_3': None, 'agent_1': None}], 'turn 5': [{'agent_0': None, 'agent_2': None, 'agent_3': None, 'agent_1': None}]}"
"A0,A3,A1,A2",0.19047619047619047,7,"{'turn 0': [{'agent_0': '1', 'agent_3': '10', 'agent_1': '14', 'agent_2': None}], 'turn 1': [{'agent_0': '17', 'agent_3': '11', 'agent_1': None, 'agent_2': None}], 'turn 2': [{'agent_0': None, 'agent_3': '15', 'agent_1': None, 'agent_2': '46'}], 'turn 3': [{'agent_0': '47', 'agent_3': '2', 'agent_1': None, 'agent_2': None}], 'turn 4': [{'agent_0': '48', 'agent_3': None, 'agent_1': None, 'agent_2': None}], 'turn 5': [{'agent_0': '50', 'agent_3': None, 'agent_1': None, 'agent_2': None}], 'turn 6': [{'agent_0': None, 'agent_3': None, 'agent_1': None, 'agent_2': None}]}"
"A0,A3,A2,A1",0.19047619047619047,6,"{'turn 0': [{'agent_0': '1', 'agent_3': '10', 'agent_2': '15', 'agent_1': '14'}], 'turn 1': [{'agent_0': '17', 'agent_3': '11', 'agent_2': '46', 'agent_1': None}], 'turn 2': [{'agent_0': '47', 'agent_3': '2', 'agent_2': None, 'agent_1': None}], 'turn 3': [{'agent_0': '48', 'agent_3': None, 'agent_2': None, 'agent_1': None}], 'turn 4': [{'agent_0': '50', 'agent_3': None, 'agent_2': None, 'agent_1': None}], 'turn 5': [{'agent_0': None, 'agent_3': None, 'agent_2': None, 'agent_1': None}]}"
"A1,A0,A2,A3",0.19047619047619047,6,"{'turn 0': [{'agent_1': '14', 'agent_0': '1', 'agent_2': '10', 'agent_3': '11'}], 'turn 1': [{'agent_1': None, 'agent_0': '17', 'agent_2': None, 'agent_3': '15'}], 'turn 2': [{'agent_1': None, 'agent_0': '47', 'agent_2': None, 'agent_3': '2'}], 'turn 3': [{'agent_1': None, 'agent_0': '48', 'agent_2': '46', 'agent_3': None}], 'turn 4': [{'agent_1': None, 'agent_0': '50', 'agent_2': None, 'agent_3': None}], 'turn 5': [{'agent_1': None, 'agent_0': None, 'agent_2': None, 'agent_3': None}]}"
"A1,A0,A3,A2",0.19047619047619047,7,"{'turn 0': [{'agent_1': '14', 'agent_0': '1', 'agent_3': '10', 'agent_2': None}], 'turn 1': [{'agent_1': '2', 'agent_0': '17', 'agent_3': '11', 'agent_2': '46'}], 'turn 2': [{'agent_1': None, 'agent_0': None, 'agent_3': '15', 'agent_2': None}], 'turn 3': [{'agent_1': None, 'agent_0': '47', 'agent_3': None, 'agent_2': None}], 'turn 4': [{'agent_1': None, 'agent_0': '48', 'agent_3': None, 'agent_2': None}], 'turn 5': [{'agent_1': None, 'agent_0': '50', 'agent_3': None, 'agent_2': None}], 'turn 6': [{'agent_1': None, 'agent_0': None, 'agent_3': None, 'agent_2': None}]}"
"A1,A2,A0,A3",0.19047619047619047,6,"{'turn 0': [{'agent_1': '14', 'agent_2': '10', 'agent_0': None, 'agent_3': '11'}], 'turn 1': [{'agent_1': '2', 'agent_2': None, 'agent_0': None, 'agent_3': '15'}], 'turn 2': [{'agent_1': None, 'agent_2': '46', 'agent_0': '47', 'agent_3': '6'}], 'turn 3': [{'agent_1': None, 'agent_2': '26', 'agent_0': '48', 'agent_3': None}], 'turn 4': [{'agent_1': None, 'agent_2': None, 'agent_0': '50', 'agent_3': None}], 'turn 5': [{'agent_1': None, 'agent_2': None, 'agent_0': None, 'agent_3': None}]}"
"A1,A2,A3,A0",0.19047619047619047,6,"{'turn 0': [{'agent_1': '14', 'agent_2': '10', 'agent_3': '11', 'agent_0': None}], 'turn 1': [{'agent_1': '2', 'agent_2': None, 'agent_3': '15', 'agent_0': '47'}], 'turn 2': [{'agent_1': None, 'agent_2': '46', 'agent_3': '6', 'agent_0': '26'}], 'turn 3': [{'agent_1': None, 'agent_2': None, 'agent_3': None, 'agent_0': '48'}], 'turn 4': [{'agent_1': None, 'agent_2': None, 'agent_3': None, 'agent_0': '50'}], 'turn 5': [{'agent_1': None, 'agent_2': None, 'agent_3': None, 'agent_0': None}]}"
"A1,A3,A0,A2",0.19047619047619047,6,"{'turn 0': [{'agent_1': '14', 'agent_3': '10', 'agent_0': None, 'agent_2': '15'}], 'turn 1': [{'agent_1': '2', 'agent_3': '11', 'agent_0': '47', 'agent_2': '46'}], 'turn 2': [{'agent_1': None, 'agent_3': '6', 'agent_0': '26', 'agent_2': None}], 'turn 3': [{'agent_1': None, 'agent_3': None, 'agent_0': '48', 'agent_2': None}], 'turn 4': [{'agent_1': None, 'agent_3': None, 'agent_0': '50', 'agent_2': None}], 'turn 5': [{'agent_1': None, 'agent_3': None, 'agent_0': None, 'agent_2': None}]}"
