order,Vp,numberOfTurn,turnHistory
"A0,A1,A2",0.14285714285714285,4,"{'turn 0': [{'agent_0': '1', 'agent_1': '10', 'agent_2': '11'}], 'turn 1': [{'agent_0': '12', 'agent_1': '13', 'agent_2': None}], 'turn 2': [{'agent_0': '14', 'agent_1': None, 'agent_2': None}], 'turn 3': [{'agent_0': None, 'agent_1': None, 'agent_2': None}]}"
"A0,A2,A1",0.14285714285714285,4,"{'turn 0': [{'agent_0': '1', 'agent_2': '11', 'agent_1': '10'}], 'turn 1': [{'agent_0': '12', 'agent_2': '15', 'agent_1': None}], 'turn 2': [{'agent_0': '13', 'agent_2': None, 'agent_1': None}], 'turn 3': [{'agent_0': None, 'agent_2': None, 'agent_1': None}]}"
"A1,A0,A2",0.14285714285714285,4,"{'turn 0': [{'agent_1': '10', 'agent_0': '1', 'agent_2': '11'}], 'turn 1': [{'agent_1': '12', 'agent_0': '13', 'agent_2': None}], 'turn 2': [{'agent_1': None, 'agent_0': '14', 'agent_2': None}], 'turn 3': [{'agent_1': None, 'agent_0': None, 'agent_2': None}]}"
"A1,A2,A0",0.14285714285714285,3,"{'turn 0': [{'agent_1': '10', 'agent_2': '1', 'agent_0': '11'}], 'turn 1': [{'agent_1': '12', 'agent_2': '15', 'agent_0': '13'}], 'turn 2': [{'agent_1': None, 'agent_2': None, 'agent_0': None}]}"
"A2,A0,A1",0.14285714285714285,4,"{'turn 0': [{'agent_2': '1', 'agent_0': '10', 'agent_1': '11'}], 'turn 1': [{'agent_2': '12', 'agent_0': '13', 'agent_1': None}], 'turn 2': [{'agent_2': None, 'agent_0': '14', 'agent_1': None}], 'turn 3': [{'agent_2': None, 'agent_0': None, 'agent_1': None}]}"
"A2,A1,A0",0.14285714285714285,3,"{'turn 0': [{'agent_2': '1', 'agent_1': '10', 'agent_0': '11'}], 'turn 1': [{'agent_2': '12', 'agent_1': '13', 'agent_0': '14'}], 'turn 2': [{'agent_2': None, 'agent_1': None, 'agent_0': None}]}"
