order,Vp,numberOfTurn,0,1,2,3,4
"A0,A1,A2,A3,A4",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 40, 33]","['agent_2', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None, 7: None, 8: '3', 9: None}, 5, 49, 47]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 16, 9]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
"A0,A1,A2,A4,A3",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '11', 2: '14', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 2, 40, 33]","['agent_2', True, {1: '1', 2: '13', 3: '15', 4: '2', 5: None, 6: None, 7: None, 8: '3', 9: None}, 5, 49, 47]","['agent_3', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 0, 16, 9]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
"A0,A1,A3,A2,A4",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 40, 33]","['agent_2', True, {1: '12', 2: '14', 3: '15', 4: '2', 5: None, 6: None, 7: None, 8: '3', 9: None}, 5, 49, 47]","['agent_3', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 16, 9]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
"A0,A1,A3,A4,A2",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 40, 33]","['agent_2', True, {1: '13', 2: '14', 3: '15', 4: '2', 5: None, 6: None, 7: None, 8: '3', 9: None}, 5, 49, 47]","['agent_3', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 16, 9]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
"A0,A1,A4,A2,A3",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '11', 2: '14', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 2, 40, 33]","['agent_2', True, {1: '1', 2: '13', 3: '15', 4: '2', 5: None, 6: None, 7: None, 8: '3', 9: None}, 5, 49, 47]","['agent_3', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 0, 16, 9]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
"A0,A1,A4,A3,A2",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 40, 33]","['agent_2', True, {1: '13', 2: '14', 3: '15', 4: '2', 5: None, 6: None, 7: None, 8: '3', 9: None}, 5, 49, 47]","['agent_3', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 16, 9]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
"A0,A2,A1,A3,A4",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 40, 33]","['agent_2', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None, 7: None, 8: '3', 9: None}, 5, 49, 47]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 16, 9]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
"A0,A2,A1,A4,A3",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 40, 33]","['agent_2', True, {1: '1', 2: '13', 3: '14', 4: '15', 5: '2', 6: None, 7: None, 8: '3', 9: None}, 6, 49, 47]","['agent_3', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 0, 16, 9]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
"A0,A2,A3,A1,A4",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 40, 33]","['agent_2', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None, 7: None, 8: '3', 9: None}, 5, 49, 47]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 16, 9]","['agent_4', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
"A0,A2,A3,A4,A1",0.13186813186813187,9,"['agent_0', False, {1: '10', 2: '39', 3: '42', 4: '44', 5: '47', 6: '46', 7: '48', 8: '50', 9: None}, 8, 22, 11]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 40, 33]","['agent_2', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None, 7: None, 8: '3', 9: None}, 5, 49, 47]","['agent_3', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 16, 9]","['agent_4', True, {1: '11', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 23, 15]"
