order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.16666666666666666,4,"['agent_0', True, {1: '10', 2: '11', 3: '13', 4: None}, 3, 32, 23]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 21, 8]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None}, 1, 16, 8]"
"A0,A2,A1",0.16666666666666666,4,"['agent_0', True, {1: '10', 2: '11', 3: '13', 4: None}, 3, 32, 23]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None}, 1, 21, 8]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None}, 1, 16, 8]"
"A1,A0,A2",0.16666666666666666,3,"['agent_0', True, {1: '10', 2: '11', 3: None}, 2, 32, 23]","['agent_1', True, {1: '1', 2: '13', 3: None}, 2, 21, 8]","['agent_2', True, {1: '12', 2: None, 3: None}, 1, 16, 8]"
"A1,A2,A0",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: '14', 3: None}, 2, 32, 23]","['agent_1', True, {1: '1', 2: '13', 3: None}, 2, 21, 8]","['agent_2', True, {1: '10', 2: None, 3: None}, 1, 16, 8]"
"A2,A0,A1",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: '13', 3: None}, 2, 32, 23]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 21, 8]","['agent_2', True, {1: '10', 2: '12', 3: None}, 2, 16, 8]"
"A2,A1,A0",0.16666666666666666,3,"['agent_0', True, {1: '11', 2: '13', 3: None}, 2, 32, 23]","['agent_1', True, {1: '1', 2: None, 3: None}, 1, 21, 8]","['agent_2', True, {1: '10', 2: '12', 3: None}, 2, 16, 8]"
