order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.15789473684210528,8,"['agent_0', True, {1: '1', 2: None, 3: None, 4: '17', 5: '42', 6: '47', 7: '50', 8: None}, 5, 20, 9]","['agent_1', True, {1: '11', 2: '13', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 2, 24, 13]","['agent_2', True, {1: '12', 2: '14', 3: '15', 4: None, 5: '2', 6: None, 7: None, 8: None}, 4, 40, 31]"
"A0,A2,A1",0.15789473684210528,9,"['agent_0', True, {1: '1', 2: None, 3: None, 4: None, 5: '17', 6: '42', 7: '47', 8: '50', 9: None}, 5, 20, 9]","['agent_1', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 1, 24, 13]","['agent_2', True, {1: '11', 2: '12', 3: '14', 4: '15', 5: None, 6: '2', 7: None, 8: None, 9: None}, 5, 40, 31]"
"A1,A0,A2",0.15789473684210528,8,"['agent_0', True, {1: '14', 2: None, 3: None, 4: '17', 5: '42', 6: '47', 7: '50', 8: None}, 5, 20, 9]","['agent_1', True, {1: '1', 2: '13', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 2, 24, 13]","['agent_2', True, {1: '11', 2: '12', 3: '15', 4: None, 5: '2', 6: None, 7: None, 8: None}, 4, 40, 31]"
"A1,A2,A0",0.15789473684210528,7,"['agent_0', True, {1: '14', 2: None, 3: '17', 4: '42', 5: '47', 6: '50', 7: None}, 5, 20, 9]","['agent_1', True, {1: '1', 2: '13', 3: None, 4: None, 5: None, 6: None, 7: None}, 2, 24, 13]","['agent_2', True, {1: '11', 2: '12', 3: '15', 4: None, 5: '2', 6: None, 7: None}, 4, 40, 31]"
"A2,A0,A1",0.15789473684210528,8,"['agent_0', True, {1: '1', 2: None, 3: None, 4: '17', 5: '42', 6: '47', 7: '50', 8: None}, 5, 20, 9]","['agent_1', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 1, 24, 13]","['agent_2', True, {1: '11', 2: '12', 3: '14', 4: '15', 5: None, 6: '2', 7: None, 8: None}, 5, 40, 31]"
"A2,A1,A0",0.15789473684210528,8,"['agent_0', True, {1: '14', 2: None, 3: None, 4: '17', 5: '42', 6: '47', 7: '50', 8: None}, 5, 20, 9]","['agent_1', True, {1: '1', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 1, 24, 13]","['agent_2', True, {1: '11', 2: '12', 3: '13', 4: '15', 5: None, 6: '2', 7: None, 8: None}, 5, 40, 31]"
