order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.2,5,"['agent_0', True, {1: '10', 2: '11', 3: '13', 4: '14', 5: None}, 4, 32, 26]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None, 5: None}, 1, 16, 10]","['agent_2', False, {1: None, 2: None, 3: '42', 4: '44', 5: None}, 2, 14, 4]"
"A0,A2,A1",0.2,4,"['agent_0', True, {1: '10', 2: '11', 3: '13', 4: None}, 3, 32, 26]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None}, 1, 16, 10]","['agent_2', False, {1: '14', 2: '42', 3: '44', 4: None}, 3, 14, 4]"
"A1,A0,A2",0.2,4,"['agent_0', True, {1: '10', 2: '11', 3: '13', 4: None}, 3, 32, 26]","['agent_1', True, {1: '12', 2: '14', 3: None, 4: None}, 2, 16, 10]","['agent_2', False, {1: None, 2: '42', 3: '44', 4: None}, 2, 14, 4]"
"A1,A2,A0",0.2,5,"['agent_0', True, {1: '10', 2: '11', 3: '13', 4: None, 5: None}, 3, 32, 26]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None, 5: None}, 1, 16, 10]","['agent_2', False, {1: '14', 2: None, 3: '42', 4: '44', 5: None}, 3, 14, 4]"
"A2,A0,A1",0.2,5,"['agent_0', True, {1: '10', 2: '11', 3: '13', 4: None, 5: None}, 3, 32, 26]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None, 5: None}, 1, 16, 10]","['agent_2', False, {1: '14', 2: None, 3: '42', 4: '44', 5: None}, 3, 14, 4]"
"A2,A1,A0",0.2,5,"['agent_0', True, {1: '10', 2: '11', 3: '13', 4: None, 5: None}, 3, 32, 26]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None, 5: None}, 1, 16, 10]","['agent_2', False, {1: '14', 2: None, 3: '42', 4: '44', 5: None}, 3, 14, 4]"
