order,Vp,numberOfTurn,0,1,2,3,4
"A0,A1,A2,A3,A4",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: '10', 2: None}, 1, 29, 20]","['agent_2', True, {1: '12', 2: None}, 1, 30, 18]","['agent_3', True, {1: None, 2: None}, 0, 19, 9]","['agent_4', True, {1: '13', 2: None}, 1, 33, 19]"
"A0,A1,A2,A4,A3",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: '10', 2: None}, 1, 29, 20]","['agent_2', True, {1: '12', 2: None}, 1, 30, 18]","['agent_3', True, {1: None, 2: None}, 0, 19, 9]","['agent_4', True, {1: '13', 2: None}, 1, 33, 19]"
"A0,A1,A3,A2,A4",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: '10', 2: None}, 1, 29, 20]","['agent_2', True, {1: '12', 2: None}, 1, 30, 18]","['agent_3', True, {1: '11', 2: None}, 1, 19, 9]","['agent_4', True, {1: None, 2: None}, 0, 33, 19]"
"A0,A1,A3,A4,A2",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: '10', 2: None}, 1, 29, 20]","['agent_2', True, {1: None, 2: None}, 0, 30, 18]","['agent_3', True, {1: '11', 2: None}, 1, 19, 9]","['agent_4', True, {1: '12', 2: None}, 1, 33, 19]"
"A0,A1,A4,A2,A3",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: '10', 2: None}, 1, 29, 20]","['agent_2', True, {1: '13', 2: None}, 1, 30, 18]","['agent_3', True, {1: None, 2: None}, 0, 19, 9]","['agent_4', True, {1: '12', 2: None}, 1, 33, 19]"
"A0,A1,A4,A3,A2",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: '10', 2: None}, 1, 29, 20]","['agent_2', True, {1: '13', 2: None}, 1, 30, 18]","['agent_3', True, {1: None, 2: None}, 0, 19, 9]","['agent_4', True, {1: '12', 2: None}, 1, 33, 19]"
"A0,A2,A1,A3,A4",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: '10', 2: None}, 1, 29, 20]","['agent_2', True, {1: '12', 2: None}, 1, 30, 18]","['agent_3', True, {1: None, 2: None}, 0, 19, 9]","['agent_4', True, {1: '13', 2: None}, 1, 33, 19]"
"A0,A2,A1,A4,A3",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: '10', 2: None}, 1, 29, 20]","['agent_2', True, {1: '12', 2: None}, 1, 30, 18]","['agent_3', True, {1: None, 2: None}, 0, 19, 9]","['agent_4', True, {1: '13', 2: None}, 1, 33, 19]"
"A0,A2,A3,A1,A4",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: '10', 2: None}, 1, 29, 20]","['agent_2', True, {1: '12', 2: None}, 1, 30, 18]","['agent_3', True, {1: '11', 2: None}, 1, 19, 9]","['agent_4', True, {1: None, 2: None}, 0, 33, 19]"
"A0,A2,A3,A4,A1",0.2,2,"['agent_0', True, {1: '1', 2: None}, 1, 19, 11]","['agent_1', True, {1: None, 2: None}, 0, 29, 20]","['agent_2', True, {1: '12', 2: None}, 1, 30, 18]","['agent_3', True, {1: '11', 2: None}, 1, 19, 9]","['agent_4', True, {1: '13', 2: None}, 1, 33, 19]"
