order,Vp,numberOfTurn,0,1,2,3,4
"A0,A1,A2,A3,A4",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None, 7: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 21, 11]"
"A0,A1,A2,A4,A3",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None, 7: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 21, 11]"
"A0,A1,A3,A2,A4",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None, 7: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 21, 11]"
"A0,A1,A3,A4,A2",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None, 7: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 21, 11]"
"A0,A1,A4,A2,A3",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None, 7: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 21, 11]"
"A0,A1,A4,A3,A2",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None, 7: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 21, 11]"
"A0,A2,A1,A3,A4",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: '47', 6: None, 7: None}, 3, 13, 4]","['agent_1', True, {1: '10', 2: '13', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: '1', 2: None, 3: None, 4: '44', 5: '48', 6: '50', 7: None}, 4, 13, 2]","['agent_3', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 0, 21, 11]"
"A0,A2,A1,A4,A3",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: '39', 3: None, 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '10', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: '1', 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 4, 13, 2]","['agent_3', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A2,A3,A1,A4",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '12', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: '1', 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: None, 2: None, 3: None, 4: None, 5: None, 6: None}, 0, 21, 11]"
"A0,A2,A3,A4,A1",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: '39', 3: None, 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '12', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: '1', 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A2,A4,A1,A3",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: '39', 3: None, 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '10', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: '1', 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 4, 13, 2]","['agent_3', True, {1: '12', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A2,A4,A3,A1",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: '39', 3: None, 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '12', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: '1', 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A3,A1,A2,A4",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: None, 2: '44', 3: '47', 4: '48', 5: '50', 6: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A3,A1,A4,A2",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: None, 2: '44', 3: '47', 4: '48', 5: '50', 6: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A3,A2,A1,A4",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 3, 13, 2]","['agent_3', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A3,A2,A4,A1",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 3, 13, 2]","['agent_3', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A3,A4,A1,A2",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: None, 2: '44', 3: '47', 4: '48', 5: '50', 6: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A3,A4,A2,A1",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 3, 13, 2]","['agent_3', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A4,A1,A2,A3",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None, 7: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 21, 11]"
"A0,A4,A1,A3,A2",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None, 7: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 21, 11]"
"A0,A4,A2,A1,A3",0.13793103448275862,7,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: '47', 6: None, 7: None}, 3, 13, 4]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: '2', 6: None, 7: None}, 5, 33, 26]","['agent_2', False, {1: None, 2: None, 3: None, 4: '44', 5: '48', 6: '50', 7: None}, 3, 13, 2]","['agent_3', True, {1: '10', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None, 7: None}, 1, 21, 11]"
"A0,A4,A2,A3,A1",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 3, 13, 2]","['agent_3', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A4,A3,A1,A2",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: None, 5: None, 6: None}, 2, 13, 4]","['agent_1', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: None, 2: '44', 3: '47', 4: '48', 5: '50', 6: None}, 4, 13, 2]","['agent_3', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
"A0,A4,A3,A2,A1",0.13793103448275862,6,"['agent_0', False, {1: '11', 2: None, 3: '39', 4: '47', 5: None, 6: None}, 3, 13, 4]","['agent_1', True, {1: '1', 2: '14', 3: '15', 4: '2', 5: None, 6: None}, 4, 33, 26]","['agent_2', False, {1: None, 2: None, 3: '44', 4: '48', 5: '50', 6: None}, 3, 13, 2]","['agent_3', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None}, 2, 22, 17]","['agent_4', True, {1: '13', 2: None, 3: None, 4: None, 5: None, 6: None}, 1, 21, 11]"
