order,Vp,numberOfTurn,0,1
"A0,A1",0.16666666666666666,4,"['agent_0', True, {1: '10', 2: '12', 3: '15', 4: None}, 3, 40, 34]","['agent_1', True, {1: '11', 2: '14', 3: None, 4: None}, 2, 35, 24]"
"A1,A0",0.16666666666666666,4,"['agent_0', True, {1: '12', 2: '14', 3: None, 4: None}, 2, 40, 34]","['agent_1', True, {1: '10', 2: '11', 3: '2', 4: None}, 3, 35, 24]"
