order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.14285714285714285,4,"['agent_0', True, {1: '1', 2: '13', 3: '3', 4: None}, 3, 32, 19]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None}, 1, 17, 7]","['agent_2', True, {1: '12', 2: '2', 3: None, 4: None}, 2, 21, 10]"
"A0,A2,A1",0.14285714285714285,4,"['agent_0', True, {1: '1', 2: '13', 3: '3', 4: None}, 3, 32, 19]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None}, 1, 17, 7]","['agent_2', True, {1: '11', 2: '2', 3: None, 4: None}, 2, 21, 10]"
"A1,A0,A2",0.14285714285714285,4,"['agent_0', True, {1: '11', 2: '13', 3: '2', 4: None}, 3, 32, 19]","['agent_1', True, {1: '1', 2: '6', 3: None, 4: None}, 2, 17, 7]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None}, 1, 21, 10]"
"A1,A2,A0",0.14285714285714285,3,"['agent_0', True, {1: '12', 2: '2', 3: None}, 2, 32, 19]","['agent_1', True, {1: '1', 2: '6', 3: None}, 2, 17, 7]","['agent_2', True, {1: '11', 2: '13', 3: None}, 2, 21, 10]"
"A2,A0,A1",0.14285714285714285,4,"['agent_0', True, {1: '11', 2: '2', 3: '3', 4: None}, 3, 32, 19]","['agent_1', True, {1: '12', 2: None, 3: None, 4: None}, 1, 17, 7]","['agent_2', True, {1: '1', 2: '13', 3: None, 4: None}, 2, 21, 10]"
"A2,A1,A0",0.14285714285714285,4,"['agent_0', True, {1: '12', 2: '2', 3: '3', 4: None}, 3, 32, 19]","['agent_1', True, {1: '11', 2: None, 3: None, 4: None}, 1, 17, 7]","['agent_2', True, {1: '1', 2: '13', 3: None, 4: None}, 2, 21, 10]"
