order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.14285714285714285,5,"['agent_0', True, {1: '1', 2: '12', 3: '13', 4: '15', 5: None}, 4, 49, 45]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None, 5: None}, 1, 20, 9]","['agent_2', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 18, 10]"
"A0,A2,A1",0.14285714285714285,5,"['agent_0', True, {1: '1', 2: '12', 3: '13', 4: '15', 5: None}, 4, 49, 45]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None, 5: None}, 1, 20, 9]","['agent_2', True, {1: '11', 2: None, 3: None, 4: None, 5: None}, 1, 18, 10]"
"A1,A0,A2",0.14285714285714285,4,"['agent_0', True, {1: '1', 2: '13', 3: '15', 4: None}, 3, 49, 45]","['agent_1', True, {1: '10', 2: '12', 3: None, 4: None}, 2, 20, 9]","['agent_2', True, {1: '11', 2: None, 3: None, 4: None}, 1, 18, 10]"
"A1,A2,A0",0.14285714285714285,4,"['agent_0', True, {1: '1', 2: '13', 3: '15', 4: None}, 3, 49, 45]","['agent_1', True, {1: '10', 2: '12', 3: None, 4: None}, 2, 20, 9]","['agent_2', True, {1: '11', 2: None, 3: None, 4: None}, 1, 18, 10]"
"A2,A0,A1",0.14285714285714285,4,"['agent_0', True, {1: '1', 2: '12', 3: '13', 4: None}, 3, 49, 45]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 20, 9]","['agent_2', True, {1: '11', 2: '3', 3: None, 4: None}, 2, 18, 10]"
"A2,A1,A0",0.14285714285714285,4,"['agent_0', True, {1: '1', 2: '12', 3: '13', 4: None}, 3, 49, 45]","['agent_1', True, {1: '10', 2: None, 3: None, 4: None}, 1, 20, 9]","['agent_2', True, {1: '11', 2: '3', 3: None, 4: None}, 2, 18, 10]"
