order,Vp,numberOfTurn,0,1
"A0,A1",0.14285714285714285,5,"['agent_0', True, {1: '1', 2: '12', 3: '14', 4: '2', 5: None}, 4, 29, 19]","['agent_1', True, {1: '11', 2: '13', 3: None, 4: None, 5: None}, 2, 31, 16]"
"A1,A0",0.14285714285714285,4,"['agent_0', True, {1: '1', 2: '12', 3: '14', 4: None}, 3, 29, 19]","['agent_1', True, {1: '11', 2: '13', 3: '2', 4: None}, 3, 31, 16]"
