order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.16666666666666666,3,"['agent_0', True, {1: '1', 2: '14', 3: None}, 2, 25, 19]","['agent_1', True, {1: '10', 2: '12', 3: None}, 2, 29, 14]","['agent_2', True, {1: '11', 2: None, 3: None}, 1, 43, 41]"
"A0,A2,A1",0.16666666666666666,3,"['agent_0', True, {1: '1', 2: '14', 3: None}, 2, 25, 19]","['agent_1', True, {1: '12', 2: None, 3: None}, 1, 29, 14]","['agent_2', True, {1: '10', 2: '11', 3: None}, 2, 43, 41]"
"A1,A0,A2",0.16666666666666666,3,"['agent_0', True, {1: '1', 2: '14', 3: None}, 2, 25, 19]","['agent_1', True, {1: '10', 2: '12', 3: None}, 2, 29, 14]","['agent_2', True, {1: '11', 2: None, 3: None}, 1, 43, 41]"
"A1,A2,A0",0.16666666666666666,3,"['agent_0', True, {1: '14', 2: None, 3: None}, 1, 25, 19]","['agent_1', True, {1: '10', 2: '12', 3: None}, 2, 29, 14]","['agent_2', True, {1: '1', 2: '11', 3: None}, 2, 43, 41]"
"A2,A0,A1",0.16666666666666666,3,"['agent_0', True, {1: '10', 2: '14', 3: None}, 2, 25, 19]","['agent_1', True, {1: '12', 2: None, 3: None}, 1, 29, 14]","['agent_2', True, {1: '1', 2: '11', 3: None}, 2, 43, 41]"
"A2,A1,A0",0.16666666666666666,3,"['agent_0', True, {1: '14', 2: None, 3: None}, 1, 25, 19]","['agent_1', True, {1: '10', 2: '12', 3: None}, 2, 29, 14]","['agent_2', True, {1: '1', 2: '11', 3: None}, 2, 43, 41]"
