order,Vp,numberOfTurn,0,1
"A0,A1",0.2,3,"['agent_0', True, {1: '12', 2: '13', 3: None}, 2, 17, 11]","['agent_1', True, {1: '1', 2: '14', 3: None}, 2, 30, 19]"
"A1,A0",0.2,3,"['agent_0', True, {1: '12', 2: '13', 3: None}, 2, 17, 11]","['agent_1', True, {1: '1', 2: '14', 3: None}, 2, 30, 19]"
