order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.15789473684210525,8,"['agent_0', True, {1: '1', 2: '10', 3: '15', 4: '2', 5: None, 6: '3', 7: None, 8: None}, 5, 37, 33]","['agent_1', False, {1: '11', 2: '17', 3: '42', 4: '44', 5: '47', 6: '19', 7: '46', 8: None}, 7, 22, 11]","['agent_2', True, {1: '13', 2: '14', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 2, 30, 18]"
"A0,A2,A1",0.15789473684210525,7,"['agent_0', True, {1: '1', 2: '10', 3: '11', 4: '15', 5: '2', 6: None, 7: None}, 5, 37, 33]","['agent_1', False, {1: '17', 2: '44', 3: '19', 4: '42', 5: '47', 6: '46', 7: None}, 6, 22, 11]","['agent_2', True, {1: '13', 2: '14', 3: '3', 4: None, 5: None, 6: None, 7: None}, 3, 30, 18]"
"A1,A0,A2",0.15789473684210525,8,"['agent_0', True, {1: '1', 2: '10', 3: '15', 4: '2', 5: '3', 6: None, 7: None, 8: None}, 5, 37, 33]","['agent_1', False, {1: '11', 2: '17', 3: '42', 4: '44', 5: '47', 6: '19', 7: '46', 8: None}, 7, 22, 11]","['agent_2', True, {1: '13', 2: '14', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 2, 30, 18]"
"A1,A2,A0",0.15789473684210525,8,"['agent_0', True, {1: '10', 2: '14', 3: '15', 4: None, 5: '2', 6: None, 7: None, 8: None}, 4, 37, 33]","['agent_1', False, {1: '11', 2: '17', 3: '42', 4: '19', 5: '44', 6: '47', 7: '46', 8: None}, 7, 22, 11]","['agent_2', True, {1: '1', 2: '13', 3: '3', 4: None, 5: None, 6: None, 7: None, 8: None}, 3, 30, 18]"
"A2,A0,A1",0.15789473684210525,7,"['agent_0', True, {1: '10', 2: '11', 3: '15', 4: '2', 5: '3', 6: None, 7: None}, 5, 37, 33]","['agent_1', False, {1: '17', 2: '42', 3: '44', 4: '47', 5: '19', 6: '46', 7: None}, 6, 22, 11]","['agent_2', True, {1: '1', 2: '13', 3: '14', 4: None, 5: None, 6: None, 7: None}, 3, 30, 18]"
"A2,A1,A0",0.15789473684210525,8,"['agent_0', True, {1: '10', 2: '14', 3: '15', 4: '2', 5: '3', 6: None, 7: None, 8: None}, 5, 37, 33]","['agent_1', False, {1: '11', 2: '17', 3: '42', 4: '44', 5: '47', 6: '19', 7: '46', 8: None}, 7, 22, 11]","['agent_2', True, {1: '1', 2: '13', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 2, 30, 18]"
