order,Vp,numberOfTurn,0,1
"A0,A1",0.125,5,"['agent_0', True, {1: '1', 2: '11', 3: '12', 4: '15', 5: None}, 4, 45, 41]","['agent_1', True, {1: '10', 2: '13', 3: '14', 4: None, 5: None}, 3, 37, 28]"
"A1,A0",0.125,5,"['agent_0', True, {1: '10', 2: '12', 3: '14', 4: '15', 5: None}, 4, 45, 41]","['agent_1', True, {1: '1', 2: '11', 3: '13', 4: None, 5: None}, 3, 37, 28]"
