order,Vp,numberOfTurn,0,1
"A0,A1",0.125,8,"['agent_0', False, {1: '3', 2: None, 3: None, 4: '42', 5: None, 6: None, 7: '44', 8: None}, 3, 17, 8]","['agent_1', True, {1: '1', 2: '10', 3: '11', 4: '12', 5: '13', 6: '14', 7: '15', 8: None}, 7, 48, 47]"
"A1,A0",0.125,8,"['agent_0', False, {1: '3', 2: None, 3: '42', 4: None, 5: None, 6: '44', 7: None, 8: None}, 3, 17, 8]","['agent_1', True, {1: '1', 2: '10', 3: '11', 4: '12', 5: '13', 6: '14', 7: '15', 8: None}, 7, 48, 47]"
