order,Vp,numberOfTurn,0,1
"A0,A1",0.125,6,"['agent_0', True, {1: '1', 2: '11', 3: '12', 4: '14', 5: '15', 6: None}, 5, 45, 41]","['agent_1', True, {1: '10', 2: '13', 3: None, 4: None, 5: None, 6: None}, 2, 21, 12]"
"A1,A0",0.125,5,"['agent_0', True, {1: '1', 2: '11', 3: '12', 4: '14', 5: None}, 4, 45, 41]","['agent_1', True, {1: '10', 2: '13', 3: '2', 4: None, 5: None}, 3, 21, 12]"
