order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.14814814814814814,9,"['agent_0', True, {1: '1', 2: '13', 3: '15', 4: '2', 5: None, 6: '3', 7: None, 8: None, 9: None}, 5, 38, 30]","['agent_1', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 2, 46, 43]","['agent_2', False, {1: '11', 2: None, 3: '39', 4: '42', 5: '47', 6: '19', 7: '48', 8: '50', 9: None}, 7, 22, 12]"
"A0,A2,A1",0.13793103448275862,8,"['agent_0', True, {1: '1', 2: '13', 3: '15', 4: None, 5: None, 6: None, 7: None, 8: None}, 3, 38, 30]","['agent_1', True, {1: '10', 2: '12', 3: '14', 4: None, 5: '2', 6: None, 7: None, 8: None}, 4, 46, 43]","['agent_2', False, {1: '11', 2: None, 3: '39', 4: '42', 5: '47', 6: '48', 7: '50', 8: None}, 6, 22, 12]"
"A1,A0,A2",0.13793103448275862,8,"['agent_0', True, {1: '10', 2: '13', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None}, 2, 38, 30]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: None, 6: '2', 7: None, 8: None}, 5, 46, 43]","['agent_2', False, {1: '11', 2: None, 3: '39', 4: '42', 5: '47', 6: '48', 7: '50', 8: None}, 6, 22, 12]"
"A1,A2,A0",0.13793103448275862,8,"['agent_0', True, {1: '10', 2: '13', 3: '15', 4: None, 5: '2', 6: None, 7: None, 8: None}, 4, 38, 30]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: None, 5: None, 6: None, 7: None, 8: None}, 3, 46, 43]","['agent_2', False, {1: '11', 2: None, 3: '39', 4: '42', 5: '47', 6: '48', 7: '50', 8: None}, 6, 22, 12]"
"A2,A0,A1",0.14814814814814814,10,"['agent_0', True, {1: '1', 2: '13', 3: '15', 4: '2', 5: None, 6: '3', 7: None, 8: None, 9: None, 10: None}, 5, 38, 30]","['agent_1', True, {1: '10', 2: '12', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None, 10: None}, 2, 46, 43]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: '19', 8: '48', 9: '50', 10: None}, 7, 22, 12]"
"A2,A1,A0",0.13793103448275862,9,"['agent_0', True, {1: '10', 2: '13', 3: None, 4: None, 5: None, 6: None, 7: None, 8: None, 9: None}, 2, 38, 30]","['agent_1', True, {1: '1', 2: '12', 3: '14', 4: '15', 5: None, 6: '2', 7: None, 8: None, 9: None}, 5, 46, 43]","['agent_2', False, {1: '11', 2: None, 3: None, 4: '39', 5: '42', 6: '47', 7: '48', 8: '50', 9: None}, 6, 22, 12]"
