order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.14285714285714285,4,"['agent_0', True, {1: '10', 2: '13', 3: None, 4: None}, 2, 20, 12]","['agent_1', True, {1: '11', 2: '14', 3: '15', 4: None}, 3, 46, 43]","['agent_2', True, {1: '12', 2: None, 3: None, 4: None}, 1, 26, 18]"
"A0,A2,A1",0.14285714285714285,3,"['agent_0', True, {1: '10', 2: '13', 3: None}, 2, 20, 12]","['agent_1', True, {1: '11', 2: '14', 3: None}, 2, 46, 43]","['agent_2', True, {1: '12', 2: '15', 3: None}, 2, 26, 18]"
"A1,A0,A2",0.14285714285714285,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 20, 12]","['agent_1', True, {1: '10', 2: '11', 3: '14', 4: None}, 3, 46, 43]","['agent_2', True, {1: '12', 2: '15', 3: None, 4: None}, 2, 26, 18]"
"A1,A2,A0",0.14285714285714285,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 20, 12]","['agent_1', True, {1: '10', 2: '11', 3: '14', 4: None}, 3, 46, 43]","['agent_2', True, {1: '12', 2: '15', 3: None, 4: None}, 2, 26, 18]"
"A2,A0,A1",0.14285714285714285,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 20, 12]","['agent_1', True, {1: '11', 2: '14', 3: '15', 4: None}, 3, 46, 43]","['agent_2', True, {1: '10', 2: '12', 3: None, 4: None}, 2, 26, 18]"
"A2,A1,A0",0.14285714285714285,4,"['agent_0', True, {1: '13', 2: None, 3: None, 4: None}, 1, 20, 12]","['agent_1', True, {1: '11', 2: '14', 3: '15', 4: None}, 3, 46, 43]","['agent_2', True, {1: '10', 2: '12', 3: None, 4: None}, 2, 26, 18]"
