order,Vp,numberOfTurn,0,1
"A0,A1",0.2,3,"['agent_0', True, {1: '13', 2: '15', 3: None}, 2, 22, 8]","['agent_1', True, {1: '1', 2: '2', 3: None}, 2, 26, 16]"
"A1,A0",0.2,3,"['agent_0', True, {1: '13', 2: '15', 3: None}, 2, 22, 8]","['agent_1', True, {1: '1', 2: '2', 3: None}, 2, 26, 16]"
