order,Vp,numberOfTurn,0,1,2
"A0,A1,A2",0.13793103448275862,7,"['agent_0', True, {1: '1', 2: '13', 3: '15', 4: None, 5: None, 6: None, 7: None}, 3, 44, 39]","['agent_1', False, {1: '14', 2: '17', 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 6, 17, 7]","['agent_2', True, {1: '10', 2: '12', 3: '2', 4: '3', 5: None, 6: None, 7: None}, 4, 46, 42]"
"A0,A2,A1",0.13793103448275862,7,"['agent_0', True, {1: '1', 2: '13', 3: '14', 4: '2', 5: None, 6: None, 7: None}, 4, 44, 39]","['agent_1', False, {1: None, 2: '17', 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 5, 17, 7]","['agent_2', True, {1: '10', 2: '12', 3: '15', 4: None, 5: '3', 6: None, 7: None}, 4, 46, 42]"
"A1,A0,A2",0.13793103448275862,7,"['agent_0', True, {1: '1', 2: '13', 3: '15', 4: None, 5: None, 6: None, 7: None}, 3, 44, 39]","['agent_1', False, {1: '14', 2: '17', 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 6, 17, 7]","['agent_2', True, {1: '10', 2: '12', 3: '2', 4: '3', 5: None, 6: None, 7: None}, 4, 46, 42]"
"A1,A2,A0",0.13793103448275862,7,"['agent_0', True, {1: '10', 2: '13', 3: '2', 4: None, 5: None, 6: None, 7: None}, 3, 44, 39]","['agent_1', False, {1: '14', 2: '17', 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 6, 17, 7]","['agent_2', True, {1: '1', 2: '12', 3: '15', 4: '3', 5: None, 6: None, 7: None}, 4, 46, 42]"
"A2,A0,A1",0.13793103448275862,7,"['agent_0', True, {1: '10', 2: '13', 3: '15', 4: None, 5: None, 6: None, 7: None}, 3, 44, 39]","['agent_1', False, {1: None, 2: '17', 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 5, 17, 7]","['agent_2', True, {1: '1', 2: '12', 3: '14', 4: '2', 5: '3', 6: None, 7: None}, 5, 46, 42]"
"A2,A1,A0",0.13793103448275862,7,"['agent_0', True, {1: '10', 2: '13', 3: '2', 4: None, 5: None, 6: None, 7: None}, 3, 44, 39]","['agent_1', False, {1: '14', 2: '17', 3: '44', 4: '47', 5: '48', 6: '50', 7: None}, 6, 17, 7]","['agent_2', True, {1: '1', 2: '12', 3: '15', 4: None, 5: '3', 6: None, 7: None}, 4, 46, 42]"
